mass,up_unc,down_unc
0.001,0.4135,0.4135
0.001,0.4135,0.4135
0.001,0.4134,0.4134
0.001,0.4134,0.4134
0.001,0.4134,0.4134
0.001,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4134,0.4134
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0011,0.4133,0.4133
0.0012,0.4133,0.4133
0.0012,0.4133,0.4133
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0012,0.4132,0.4132
0.0013,0.4132,0.4132
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0013,0.4131,0.4131
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.413,0.413
0.0014,0.4129,0.4129
0.0014,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4129,0.4129
0.0015,0.4128,0.4128
0.0015,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4128,0.4128
0.0016,0.4127,0.4127
0.0016,0.4127,0.4127
0.0016,0.4127,0.4127
0.0017,0.4127,0.4127
0.0017,0.4127,0.4127
0.0017,0.4127,0.4127
0.0017,0.4126,0.4126
0.0017,0.4126,0.4126
0.0017,0.4126,0.4126
0.0018,0.4126,0.4126
0.0018,0.4126,0.4126
0.0018,0.4126,0.4126
0.0018,0.4126,0.4126
0.0018,0.4125,0.4125
0.0018,0.4125,0.4125
0.0018,0.4125,0.4125
0.0019,0.4125,0.4125
0.0019,0.4125,0.4125
0.0019,0.4125,0.4125
0.0019,0.4124,0.4124
0.0019,0.4124,0.4124
0.0019,0.4124,0.4124
0.002,0.4124,0.4124
0.002,0.4124,0.4124
0.002,0.4123,0.4123
0.002,0.4123,0.4123
0.002,0.4123,0.4123
0.002,0.4123,0.4123
0.0021,0.4123,0.4123
0.0021,0.4123,0.4123
0.0021,0.4122,0.4122
0.0021,0.4122,0.4122
0.0021,0.4122,0.4122
0.0022,0.4122,0.4122
0.0022,0.4122,0.4122
0.0022,0.4121,0.4121
0.0022,0.4121,0.4121
0.0022,0.4121,0.4121
0.0022,0.4121,0.4121
0.0023,0.4121,0.4121
0.0023,0.412,0.412
0.0023,0.412,0.412
0.0023,0.412,0.412
0.0023,0.412,0.412
0.0024,0.412,0.412
0.0024,0.4119,0.4119
0.0024,0.4119,0.4119
0.0024,0.4119,0.4119
0.0024,0.4119,0.4119
0.0025,0.4119,0.4119
0.0025,0.4118,0.4118
0.0025,0.4118,0.4118
0.0025,0.4118,0.4118
0.0026,0.4118,0.4118
0.0026,0.4118,0.4118
0.0026,0.4117,0.4117
0.0026,0.4117,0.4117
0.0026,0.4117,0.4117
0.0027,0.4117,0.4117
0.0027,0.4116,0.4116
0.0027,0.4116,0.4116
0.0027,0.4116,0.4116
0.0028,0.4116,0.4116
0.0028,0.4116,0.4116
0.0028,0.4115,0.4115
0.0028,0.4115,0.4115
0.0029,0.4115,0.4115
0.0029,0.4115,0.4115
0.0029,0.4114,0.4114
0.0029,0.4114,0.4114
0.003,0.4114,0.4114
0.003,0.4114,0.4114
0.003,0.4113,0.4113
0.003,0.4113,0.4113
0.0031,0.4113,0.4113
0.0031,0.4113,0.4113
0.0031,0.4112,0.4112
0.0031,0.4112,0.4112
0.0032,0.4112,0.4112
0.0032,0.4112,0.4112
0.0032,0.4111,0.4111
0.0033,0.4111,0.4111
0.0033,0.4111,0.4111
0.0033,0.411,0.411
0.0033,0.411,0.411
0.0034,0.411,0.411
0.0034,0.411,0.411
0.0034,0.4109,0.4109
0.0035,0.4109,0.4109
0.0035,0.4109,0.4109
0.0035,0.4108,0.4108
0.0035,0.4108,0.4108
0.0036,0.4108,0.4108
0.0036,0.4108,0.4108
0.0036,0.4107,0.4107
0.0037,0.4107,0.4107
0.0037,0.4107,0.4107
0.0037,0.4106,0.4106
0.0038,0.4106,0.4106
0.0038,0.4106,0.4106
0.0038,0.4105,0.4105
0.0039,0.4105,0.4105
0.0039,0.4105,0.4105
0.0039,0.4105,0.4105
0.004,0.4104,0.4104
0.004,0.4104,0.4104
0.004,0.4104,0.4104
0.0041,0.4103,0.4103
0.0041,0.4103,0.4103
0.0041,0.4103,0.4103
0.0042,0.4102,0.4102
0.0042,0.4102,0.4102
0.0042,0.4101,0.4101
0.0043,0.4101,0.4101
0.0043,0.4101,0.4101
0.0044,0.41,0.41
0.0044,0.41,0.41
0.0044,0.41,0.41
0.0045,0.4099,0.4099
0.0045,0.4099,0.4099
0.0046,0.4099,0.4099
0.0046,0.4098,0.4098
0.0046,0.4098,0.4098
0.0047,0.4097,0.4097
0.0047,0.4097,0.4097
0.0048,0.4097,0.4097
0.0048,0.4096,0.4096
0.0048,0.4096,0.4096
0.0049,0.4095,0.4095
0.0049,0.4095,0.4095
0.005,0.4095,0.4095
0.005,0.4094,0.4094
0.005,0.4094,0.4094
0.0051,0.4093,0.4093
0.0051,0.4093,0.4093
0.0052,0.4093,0.4093
0.0052,0.4092,0.4092
0.0053,0.4092,0.4092
0.0053,0.4091,0.4091
0.0054,0.4091,0.4091
0.0054,0.409,0.409
0.0055,0.409,0.409
0.0055,0.4089,0.4089
0.0056,0.4089,0.4089
0.0056,0.4088,0.4088
0.0056,0.4088,0.4088
0.0057,0.4087,0.4087
0.0057,0.4087,0.4087
0.0058,0.4087,0.4087
0.0058,0.4086,0.4086
0.0059,0.4086,0.4086
0.0059,0.4085,0.4085
0.006,0.4084,0.4084
0.006,0.4084,0.4084
0.0061,0.4083,0.4083
0.0062,0.4083,0.4083
0.0062,0.4082,0.4082
0.0063,0.4082,0.4082
0.0063,0.4081,0.4081
0.0064,0.4081,0.4081
0.0064,0.408,0.408
0.0065,0.408,0.408
0.0065,0.4079,0.4079
0.0066,0.4078,0.4078
0.0067,0.4078,0.4078
0.0067,0.4077,0.4077
0.0068,0.4077,0.4077
0.0068,0.4076,0.4076
0.0069,0.4075,0.4075
0.0069,0.4075,0.4075
0.007,0.4074,0.4074
0.0071,0.4074,0.4074
0.0071,0.4073,0.4073
0.0072,0.4072,0.4072
0.0072,0.4072,0.4072
0.0073,0.4071,0.4071
0.0074,0.407,0.407
0.0074,0.407,0.407
0.0075,0.4069,0.4069
0.0076,0.4068,0.4068
0.0076,0.4068,0.4068
0.0077,0.4067,0.4067
0.0078,0.4066,0.4066
0.0078,0.4065,0.4065
0.0079,0.4065,0.4065
0.008,0.4064,0.4064
0.008,0.4063,0.4063
0.0081,0.4062,0.4062
0.0082,0.4062,0.4062
0.0082,0.4061,0.4061
0.0083,0.406,0.406
0.0084,0.4059,0.4059
0.0085,0.4058,0.4058
0.0085,0.4058,0.4058
0.0086,0.4057,0.4057
0.0087,0.4056,0.4056
0.0088,0.4055,0.4055
0.0088,0.4054,0.4054
0.0089,0.4053,0.4053
0.009,0.4053,0.4053
0.0091,0.4052,0.4052
0.0091,0.4051,0.4051
0.0092,0.405,0.405
0.0093,0.4049,0.4049
0.0094,0.4048,0.4048
0.0095,0.4047,0.4047
0.0095,0.4046,0.4046
0.0096,0.4045,0.4045
0.0097,0.4044,0.4044
0.0098,0.4043,0.4043
0.0099,0.4042,0.4042
0.01,0.4041,0.4041
0.0101,0.404,0.404
0.0101,0.4039,0.4039
0.0102,0.4038,0.4038
0.0103,0.4037,0.4037
0.0104,0.4035,0.4035
0.0105,0.4034,0.4034
0.0106,0.4033,0.4033
0.0107,0.4032,0.4032
0.0108,0.4031,0.4031
0.0109,0.403,0.403
0.011,0.4028,0.4028
0.0111,0.4027,0.4027
0.0112,0.4026,0.4026
0.0112,0.4025,0.4025
0.0113,0.4023,0.4023
0.0114,0.4022,0.4022
0.0115,0.4021,0.4021
0.0116,0.4019,0.4019
0.0117,0.4018,0.4018
0.0118,0.4017,0.4017
0.0119,0.4015,0.4015
0.012,0.4014,0.4014
0.0122,0.4012,0.4012
0.0123,0.4011,0.4011
0.0124,0.4009,0.4009
0.0125,0.4008,0.4008
0.0126,0.4006,0.4006
0.0127,0.4005,0.4005
0.0128,0.4003,0.4003
0.0129,0.4001,0.4001
0.013,0.4,0.4
0.0131,0.3998,0.3998
0.0132,0.3996,0.3996
0.0134,0.3995,0.3995
0.0135,0.3993,0.3993
0.0136,0.3991,0.3991
0.0137,0.3989,0.3989
0.0138,0.3987,0.3987
0.0139,0.3986,0.3986
0.0141,0.3984,0.3984
0.0142,0.3982,0.3982
0.0143,0.398,0.398
0.0144,0.3978,0.3978
0.0146,0.3976,0.3976
0.0147,0.3973,0.3973
0.0148,0.3971,0.3971
0.0149,0.3969,0.3969
0.0151,0.3967,0.3967
0.0152,0.3965,0.3965
0.0153,0.3962,0.3962
0.0155,0.396,0.396
0.0156,0.3958,0.3958
0.0157,0.3955,0.3955
0.0159,0.3953,0.3953
0.016,0.395,0.395
0.0161,0.3948,0.3948
0.0163,0.3945,0.3945
0.0164,0.3942,0.3942
0.0166,0.394,0.394
0.0167,0.3937,0.3937
0.0169,0.3934,0.3934
0.017,0.3931,0.3931
0.0172,0.3928,0.3928
0.0173,0.3925,0.3925
0.0175,0.3922,0.3922
0.0176,0.3919,0.3919
0.0178,0.3916,0.3916
0.0179,0.3913,0.3913
0.0181,0.391,0.391
0.0182,0.3906,0.3906
0.0184,0.3903,0.3903
0.0185,0.3899,0.3899
0.0187,0.3896,0.3896
0.0189,0.3892,0.3892
0.019,0.3888,0.3888
0.0192,0.3884,0.3884
0.0194,0.3881,0.3881
0.0195,0.3877,0.3877
0.0197,0.3873,0.3873
0.0199,0.3868,0.3868
0.02,0.3864,0.3864
0.0202,0.386,0.386
0.0204,0.3855,0.3855
0.0206,0.3851,0.3851
0.0207,0.3846,0.3846
0.0209,0.3841,0.3841
0.0211,0.3837,0.3837
0.0213,0.3832,0.3832
0.0215,0.3827,0.3827
0.0216,0.3821,0.3821
0.0218,0.3816,0.3816
0.022,0.3811,0.3811
0.0222,0.3805,0.3805
0.0224,0.3799,0.3799
0.0226,0.3794,0.3794
0.0228,0.3788,0.3788
0.023,0.3782,0.3782
0.0232,0.3775,0.3775
0.0234,0.3769,0.3769
0.0236,0.3762,0.3762
0.0238,0.3756,0.3756
0.024,0.3749,0.3749
0.0242,0.3742,0.3742
0.0244,0.3734,0.3734
0.0246,0.3727,0.3727
0.0248,0.3719,0.3719
0.0251,0.3712,0.3712
0.0253,0.3704,0.3704
0.0255,0.3696,0.3696
0.0257,0.3687,0.3687
0.0259,0.3679,0.3679
0.0262,0.367,0.367
0.0264,0.3661,0.3661
0.0266,0.3651,0.3651
0.0268,0.3642,0.3642
0.0271,0.3632,0.3632
0.0273,0.3622,0.3622
0.0275,0.3612,0.3612
0.0278,0.3601,0.3601
0.028,0.359,0.359
0.0283,0.3579,0.3579
0.0285,0.3568,0.3568
0.0288,0.3556,0.3556
0.029,0.3544,0.3544
0.0293,0.3532,0.3532
0.0295,0.3519,0.3519
0.0298,0.3506,0.3506
0.03,0.3493,0.3493
0.0303,0.3479,0.3479
0.0305,0.3465,0.3465
0.0308,0.3451,0.3451
0.0311,0.3436,0.3436
0.0313,0.3421,0.3421
0.0316,0.3406,0.3406
0.0319,0.339,0.339
0.0322,0.3374,0.3374
0.0324,0.3358,0.3358
0.0327,0.3341,0.3341
0.033,0.3323,0.3323
0.0333,0.3306,0.3306
0.0336,0.3288,0.3288
0.0339,0.3269,0.3269
0.0342,0.3251,0.3251
0.0345,0.3231,0.3231
0.0348,0.3212,0.3212
0.0351,0.3192,0.3192
0.0354,0.3172,0.3172
0.0357,0.3152,0.3152
0.036,0.3131,0.3131
0.0363,0.311,0.311
0.0366,0.3089,0.3089
0.0369,0.3067,0.3067
0.0372,0.3046,0.3046
0.0376,0.3024,0.3024
0.0379,0.3003,0.3003
0.0382,0.2981,0.2981
0.0385,0.2959,0.2959
0.0389,0.2938,0.2938
0.0392,0.2917,0.2917
0.0395,0.2896,0.2896
0.0399,0.2876,0.2876
0.0402,0.2856,0.2856
0.0406,0.2836,0.2836
0.0409,0.2818,0.2818
0.0413,0.28,0.28
0.0416,0.2783,0.2783
0.042,0.2768,0.2768
0.0424,0.2753,0.2753
0.0427,0.274,0.274
0.0431,0.2729,0.2729
0.0435,0.2719,0.2719
0.0439,0.2711,0.2711
0.0442,0.2705,0.2705
0.0446,0.27,0.27
0.045,0.2698,0.2698
0.0454,0.2697,0.2697
0.0458,0.2699,0.2699
0.0462,0.2702,0.2702
0.0466,0.2708,0.2708
0.047,0.2715,0.2715
0.0474,0.2724,0.2724
0.0478,0.2735,0.2735
0.0482,0.2748,0.2748
0.0486,0.2761,0.2761
0.0491,0.2776,0.2776
0.0495,0.2791,0.2791
0.0499,0.2807,0.2807
0.0503,0.2824,0.2824
0.0508,0.284,0.284
0.0512,0.2857,0.2857
0.0517,0.2873,0.2873
0.0521,0.2888,0.2888
0.0525,0.2903,0.2903
0.053,0.2917,0.2917
0.0535,0.293,0.293
0.0539,0.2942,0.2942
0.0544,0.2952,0.2952
0.0549,0.2961,0.2961
0.0553,0.2969,0.2969
0.0558,0.2976,0.2976
0.0563,0.2982,0.2982
0.0568,0.2986,0.2986
0.0573,0.2989,0.2989
0.0578,0.2991,0.2991
0.0583,0.2991,0.2991
0.0588,0.2991,0.2991
0.0593,0.299,0.299
0.0598,0.2987,0.2987
0.0603,0.2985,0.2985
0.0608,0.2981,0.2981
0.0614,0.2977,0.2977
0.0619,0.2972,0.2972
0.0624,0.2967,0.2967
0.063,0.2961,0.2961
0.0635,0.2956,0.2956
0.0641,0.295,0.295
0.0646,0.2943,0.2943
0.0652,0.2937,0.2937
0.0657,0.293,0.293
0.0663,0.2924,0.2924
0.0669,0.2917,0.2917
0.0675,0.291,0.291
0.068,0.2903,0.2903
0.0686,0.2896,0.2896
0.0692,0.2889,0.2889
0.0698,0.2882,0.2882
0.0704,0.2875,0.2875
0.071,0.2868,0.2868
0.0717,0.2861,0.2861
0.0723,0.2853,0.2853
0.0729,0.2846,0.2846
0.0735,0.2838,0.2838
0.0742,0.2831,0.2831
0.0748,0.2823,0.2823
0.0755,0.2815,0.2815
0.0761,0.2808,0.2808
0.0768,0.28,0.28
0.0774,0.2792,0.2792
0.0781,0.2784,0.2784
0.0788,0.2776,0.2776
0.0795,0.2767,0.2767
0.0801,0.2759,0.2759
0.0808,0.2751,0.2751
0.0815,0.2742,0.2742
0.0822,0.2734,0.2734
0.0829,0.2726,0.2725
0.0837,0.2717,0.2717
0.0844,0.2708,0.2708
0.0851,0.27,0.27
0.0859,0.2691,0.2691
0.0866,0.2682,0.2682
0.0873,0.2673,0.2673
0.0881,0.2664,0.2664
0.0889,0.2655,0.2655
0.0896,0.2646,0.2646
0.0904,0.2637,0.2637
0.0912,0.2628,0.2628
0.092,0.2619,0.2619
0.0928,0.2609,0.2609
0.0936,0.26,0.26
0.0944,0.2591,0.2591
0.0952,0.2581,0.2581
0.096,0.2572,0.2572
0.0969,0.2563,0.2563
0.0977,0.2553,0.2553
0.0985,0.2544,0.2544
0.0994,0.2534,0.2534
0.1003,0.2525,0.2525
0.1011,0.2516,0.2516
0.102,0.2506,0.2506
0.1029,0.2497,0.2497
0.1038,0.2487,0.2487
0.1047,0.2478,0.2478
0.1056,0.2469,0.2469
0.1065,0.2459,0.2459
0.1074,0.245,0.245
0.1083,0.2441,0.2441
0.1093,0.2432,0.2432
0.1102,0.2423,0.2423
0.1112,0.2414,0.2414
0.1121,0.2405,0.2405
0.1131,0.2397,0.2396
0.1141,0.2388,0.2388
0.1151,0.2379,0.2379
0.1161,0.2371,0.2371
0.1171,0.2363,0.2363
0.1181,0.2355,0.2355
0.1191,0.2347,0.2347
0.1201,0.2339,0.2339
0.1212,0.2332,0.2332
0.1222,0.2324,0.2324
0.1233,0.2317,0.2317
0.1243,0.2311,0.231
0.1254,0.2304,0.2304
0.1265,0.2298,0.2297
0.1276,0.2291,0.2291
0.1287,0.2286,0.2285
0.1298,0.228,0.228
0.1309,0.2275,0.2275
0.1321,0.227,0.227
0.1332,0.2265,0.2265
0.1344,0.2261,0.2261
0.1355,0.2257,0.2257
0.1367,0.2253,0.2253
0.1379,0.225,0.2249
0.1391,0.2247,0.2246
0.1403,0.2244,0.2244
0.1415,0.2242,0.2242
0.1427,0.224,0.224
0.1439,0.2238,0.2238
0.1452,0.2237,0.2237
0.1464,0.2236,0.2236
0.1477,0.2236,0.2236
0.149,0.2236,0.2236
0.1503,0.2236,0.2236
0.1516,0.2237,0.2237
0.1529,0.2238,0.2238
0.1542,0.2239,0.2239
0.1555,0.2241,0.2241
0.1569,0.2243,0.2243
0.1582,0.2246,0.2246
0.1596,0.2249,0.2249
0.161,0.2252,0.2252
0.1624,0.2255,0.2255
0.1638,0.2259,0.2259
0.1652,0.2263,0.2263
0.1666,0.2268,0.2267
0.1681,0.2272,0.2272
0.1695,0.2277,0.2277
0.171,0.2282,0.2282
0.1725,0.2287,0.2287
0.174,0.2293,0.2293
0.1755,0.2298,0.2298
0.177,0.2304,0.2304
0.1785,0.231,0.231
0.1801,0.2316,0.2316
0.1816,0.2323,0.2322
0.1832,0.2329,0.2329
0.1848,0.2335,0.2335
0.1864,0.2342,0.2341
0.188,0.2348,0.2348
0.1896,0.2355,0.2354
0.1913,0.2361,0.2361
0.1929,0.2368,0.2367
0.1946,0.2374,0.2374
0.1963,0.238,0.238
0.198,0.2387,0.2386
0.1997,0.2393,0.2392
0.2014,0.2399,0.2399
0.2031,0.2405,0.2405
0.2049,0.2411,0.241
0.2067,0.2416,0.2416
0.2085,0.2422,0.2422
0.2103,0.2427,0.2427
0.2121,0.2433,0.2432
0.2139,0.2438,0.2437
0.2158,0.2443,0.2442
0.2176,0.2447,0.2447
0.2195,0.2452,0.2452
